name,parent,score
Node 213,Node 214,0
Node 212,Node 213,0
Node 211,Node 212,0
Favites flexuosa,Node 211, 
Favites halicora,Node 211, 
Favites abdita,Node 212, 
Phymastrea magnistellata,Node 213, 
Diploastrea heliopora,Node 215, 
Montastraea cavernosa,Node 217, 
Node 221,Node 222,0
Node 220,Node 221,0
Node 218,Node 220,0
Blastomussa merleti,Node 218, 
Blastomussa wellsi,Node 218, 
Node 219,Node 220,0
Plerogyra sinuosa,Node 219, 
Physogyra lichtensteini,Node 219, 
Plesiastrea versipora,Node 221, 
Node 244,Node 245,0
Node 243,Node 244,0
Node 229,Node 243,0
Node 226,Node 229,0
Node 225,Node 226,0
Node 224,Node 225,0
Psammocora haimiana,Node 224, 
Psammocora nierstraszi,Node 224, 
Psammocora stellata,Node 224, 
Psammocora superficialis,Node 224, 
Psammocora digitata,Node 224, 
Psammocora obtusangula,Node 224, 
Psammocora profundacella,Node 224, 
Psammocora contigua,Node 224, 
Psammocora albopicta,Node 225, 
Coscinaraea columna,Node 226, 
Node 228,Node 229,0
Horastrea indica,Node 228, 
Node 227,Node 228,0
Anomastrea irregularis,Node 227, 
Pseudosiderastrea tayami,Node 227, 
Node 242,Node 243,0
Node 230,Node 242,0
Psammocora explanulata,Node 230, 
Coscinaraea wellsi,Node 230, 
Cycloseris sinensis,Node 242, 
Node 232,Node 242,0
Ctenactis crassa,Node 232, 
Node 231,Node 232,0
Ctenactis albitentaculata,Node 231, 
Ctenactis echinata,Node 231, 
Node 233,Node 242,0
Herpolitha limax,Node 233, 
Polyphyllia talpina,Node 233, 
Cycloseris cyclolites,Node 242, 
Node 235,Node 242,0
Node 234,Node 235,0
Leptastrea bottae,Node 234, 
Leptastrea pruinosa,Node 234, 
Leptastrea purpurea,Node 234, 
Leptastrea transversa,Node 234, 
Heliofungia actiniformis,Node 235, 
Node 239,Node 242,0
Node 238,Node 239,0
Node 237,Node 238,0
Node 236,Node 237,0
Sandalolitha robusta,Node 236, 
Sandalolitha dentata,Node 236, 
Podabacia crustacea,Node 236, 
Podabacia motuporensis,Node 237, 
Zoopilus echinatus,Node 238, 
Lithophyllon undulatum,Node 239, 
Cycloseris fragilis,Node 242, 
Cycloseris vaughani,Node 242, 
Cycloseris costulata,Node 242, 
Node 241,Node 242,0
Node 240,Node 241,0
Halomitra clavator,Node 240, 
Halomitra pileus,Node 240, 
Fungia fungites,Node 241, 
Cycloseris tenuis,Node 242, 
Oulastrea crispata,Node 244, 
Lobactis scutaria,Node 246, 
Madrepora oculata,Node 248, 
Node 253,Node 254,0
Node 252,Node 253,0
Node 251,Node 252,0
Node 250,Node 251,0
Node 249,Node 250,0
Stenocyathus vermiformis,Node 249, 
Caryophyllia ambrosia,Node 249, 
Crispatotrochus rugosus,Node 250, 
Caryophyllia inornata,Node 251, 
Desmophyllum pertusum,Node 252, 
Caryophyllia smithii,Node 253, 
Ceratotrochus magnaghii,Node 255, 
Anthemiphyllia spinifera,Node 256, 
Node 392,Node 393,0
Node 391,Node 392,0
Node 359,Node 391,0
Node 356,Node 359,0
Node 343,Node 356,0
Node 336,Node 343,0
Node 334,Node 336,0
Node 306,Node 334,0
Node 302,Node 306,0
Node 298,Node 302,0
Node 297,Node 298,0
Node 296,Node 297,0
Node 295,Node 296,0
Node 294,Node 295,0
Node 286,Node 294,0
Node 285,Node 286,0
Node 272,Node 285,0
Node 271,Node 272,0
Acropora muricata,Node 271, 
Node 270,Node 271,0
Node 265,Node 270,0
Node 264,Node 265,0
Node 259,Node 264,0
Node 258,Node 259,0
Node 257,Node 258,0
Acropora papillare,Node 257, 
Acropora vaughani,Node 257, 
Acropora microphthalma,Node 258, 
Acropora loisetteae,Node 259, 
Node 263,Node 264,0
Node 261,Node 263,0
Acropora bushyensis,Node 261, 
Node 260,Node 261,0
Acropora carduus,Node 260, 
Acropora granulosa,Node 260, 
Node 262,Node 263,0
Acropora polystoma,Node 262, 
Acropora horrida,Node 262, 
Acropora rongelapensis,Node 265, 
Node 267,Node 270,0
Node 266,Node 267,0
Acropora chesterfieldensis,Node 266, 
Acropora loripes,Node 266, 
Acropora lokani,Node 267, 
Acropora caroliniana,Node 270, 
Acropora tortuosa,Node 270, 
Node 268,Node 270,0
Acropora pichoni,Node 268, 
Acropora tenella,Node 268, 
Acropora speciosa,Node 270, 
Acropora walindii,Node 270, 
Acropora jacquelineae,Node 270, 
Node 269,Node 270,0
Acropora batunai,Node 269, 
Acropora longicyathus,Node 269, 
Acropora spathulata,Node 272, 
Node 275,Node 285,0
Node 274,Node 275,0
Node 273,Node 274,0
Acropora indonesia,Node 273, 
Acropora microclados,Node 273, 
Acropora cytherea,Node 274, 
Acropora hyacinthus,Node 275, 
Node 278,Node 285,0
Acropora kirstyae,Node 278, 
Node 277,Node 278,0
Node 276,Node 277,0
Acropora elegans,Node 276, 
Acropora solitaryensis,Node 276, 
Acropora dendrum,Node 276, 
Acropora acuminata,Node 276, 
Acropora yongei,Node 276, 
Acropora anthocercis,Node 276, 
Acropora derawanensis,Node 277, 
Node 282,Node 285,0
Node 279,Node 282,0
Acropora selago,Node 279, 
Acropora millepora,Node 279, 
Node 281,Node 282,0
Acropora nasuta,Node 281, 
Node 280,Node 281,0
Acropora grandis,Node 280, 
Acropora listeri,Node 280, 
Acropora spicifera,Node 285, 
Node 283,Node 285,0
Acropora pulchra,Node 283, 
Acropora aspera,Node 283, 
Node 284,Node 285,0
Acropora sarmentosa,Node 284, 
Acropora florida,Node 284, 
Acropora samoensis,Node 286, 
Node 293,Node 294,0
Node 290,Node 293,0
Node 289,Node 290,0
Node 288,Node 289,0
Acropora gemmifera,Node 288, 
Node 287,Node 288,0
Acropora humilis,Node 287, 
Acropora globiceps,Node 287, 
Acropora hemprichii,Node 289, 
Acropora digitifera,Node 290, 
Node 292,Node 293,0
Acropora valida,Node 292, 
Node 291,Node 292,0
Acropora lutkeni,Node 291, 
Acropora secale,Node 291, 
Acropora monticulosa,Node 292, 
Acropora kimbeensis,Node 292, 
Acropora divaricata,Node 292, 
Acropora cerealis,Node 292, 
Acropora retusa,Node 295, 
Acropora multiacuta,Node 296, 
Acropora latistella,Node 297, 
Acropora palmerae,Node 298, 
Node 299,Node 302,0
Acropora intermedia,Node 299, 
Acropora tenuis,Node 299, 
Node 300,Node 302,0
Acropora palmata,Node 300, 
Acropora cervicornis,Node 300, 
Node 301,Node 302,0
Acropora nana,Node 301, 
Acropora aculeus,Node 301, 
Acropora subglabra,Node 302, 
Acropora elseyi,Node 302, 
Acropora austera,Node 302, 
Acropora verweyi,Node 302, 
Acropora echinata,Node 302, 
Acropora abrolhosensis,Node 302, 
Acropora donei,Node 302, 
Node 305,Node 306,0
Node 304,Node 305,0
Node 303,Node 304,0
Isopora palifera,Node 303, 
Isopora cuneata,Node 303, 
Isopora togianensis,Node 304, 
Isopora brueggemanni,Node 305, 
Node 333,Node 334,0
Node 331,Node 333,0
Node 329,Node 331,0
Node 327,Node 329,0
Node 326,Node 327,0
Node 325,Node 326,0
Node 324,Node 325,0
Node 323,Node 324,0
Node 322,Node 323,0
Node 321,Node 322,0
Node 320,Node 321,0
Node 319,Node 320,0
Node 318,Node 319,0
Node 317,Node 318,0
Node 316,Node 317,0
Node 315,Node 316,0
Node 314,Node 315,0
Node 313,Node 314,0
Node 312,Node 313,0
Node 311,Node 312,0
Node 310,Node 311,0
Montipora gaimardi,Node 310, 
Node 309,Node 310,0
Node 308,Node 309,0
Node 307,Node 308,0
Montipora stellata,Node 307, 
Montipora aequituberculata,Node 307, 
Montipora cactus,Node 308, 
Anacropora matthai,Node 309, 
Anacropora forbesi,Node 311, 
Montipora angulata,Node 312, 
Montipora circumvallata,Node 313, 
Montipora taiwanensis,Node 314, 
Montipora altasepta,Node 315, 
Montipora florida,Node 316, 
Montipora danae,Node 317, 
Montipora millepora,Node 318, 
Montipora turtlensis,Node 319, 
Montipora confusa,Node 320, 
Montipora undata,Node 321, 
Montipora peltiformis,Node 322, 
Montipora capricornis,Node 323, 
Montipora venosa,Node 324, 
Montipora efflorescens,Node 325, 
Montipora tuberculosa,Node 326, 
Montipora digitata,Node 327, 
Node 328,Node 329,0
Montipora spongodes,Node 328, 
Montipora mollis,Node 328, 
Montipora hoffmeisteri,Node 328, 
Node 330,Node 331,0
Montipora capitata,Node 330, 
Montipora verrucosa,Node 330, 
Node 332,Node 333,0
Montipora hispida,Node 332, 
Montipora delicatula,Node 332, 
Node 335,Node 336,0
Astreopora listeri,Node 335, 
Astreopora myriophthalma,Node 335, 
Node 342,Node 343,0
Pachyseris speciosa,Node 342, 
Node 341,Node 342,0
Node 339,Node 341,0
Node 337,Node 339,0
Galaxea astreata,Node 337, 
Galaxea fascicularis,Node 337, 
Node 338,Node 339,0
Euphyllia glabrescens,Node 338, 
Ctenella chagius,Node 338, 
Node 340,Node 341,0
Euphyllia ancora,Node 340, 
Euphyllia divisa,Node 340, 
Node 355,Node 356,0
Node 353,Node 355,0
Node 348,Node 353,0
Agaricia humilis,Node 348, 
Node 347,Node 348,0
Node 345,Node 347,0
Agaricia undata,Node 345, 
Node 344,Node 345,0
Agaricia fragilis,Node 344, 
Agaricia lamarcki,Node 344, 
Node 346,Node 347,0
Agaricia agaricites,Node 346, 
Agaricia tenuifolia,Node 346, 
Node 352,Node 353,0
Node 349,Node 352,0
Leptoseris yabei,Node 349, 
Leptoseris incrustans,Node 349, 
Node 351,Node 352,0
Node 350,Node 351,0
Gardineroseris planulata,Node 350, 
Pavona varians,Node 350, 
Pavona clavus,Node 350, 
Pavona frondifera,Node 350, 
Pavona decussata,Node 350, 
Pavona cactus,Node 351, 
Node 354,Node 355,0
Thalamophyllia riisei,Node 354, 
Thalamophyllia gasti,Node 354, 
Node 358,Node 359,0
Node 357,Node 358,0
Siderastrea savignyana,Node 357, 
Siderastrea siderea,Node 357, 
Siderastrea radians,Node 357, 
Siderastrea stellata,Node 357, 
Siderastrea glynni,Node 358, 
Node 390,Node 391,0
Node 383,Node 390,0
Node 373,Node 383,0
Node 371,Node 373,0
Node 369,Node 371,0
Node 363,Node 369,0
Node 362,Node 363,0
Node 360,Node 362,0
Porites porites,Node 360, 
Porites panamensis,Node 360, 
Node 361,Node 362,0
Porites divaricata,Node 361, 
Porites furcata,Node 361, 
Porites australiensis,Node 362, 
Porites annae,Node 362, 
Porites branneri,Node 362, 
Porites colonensis,Node 363, 
Porites brighami,Node 363, 
Node 368,Node 369,0
Node 367,Node 368,0
Porites cylindrica,Node 367, 
Node 366,Node 367,0
Porites solida,Node 366, 
Node 365,Node 366,0
Porites lutea,Node 365, 
Node 364,Node 365,0
Porites lichen,Node 364, 
Porites rus,Node 364, 
Porites lobata,Node 368, 
Porites evermanni,Node 369, 
Porites astreoides,Node 369, 
Porites sverdrupi,Node 369, 
Porites murrayensis,Node 369, 
Porites monticulosa,Node 371, 
Node 370,Node 371,0
Porites duerdeni,Node 370, 
Porites compressa,Node 370, 
Node 372,Node 373,0
Goniopora minor,Node 372, 
Goniopora djiboutiensis,Node 372, 
Goniopora tenuidens,Node 372, 
Goniopora columna,Node 372, 
Goniopora stokesi,Node 372, 
Node 382,Node 383,0
Node 381,Node 382,0
Node 380,Node 381,0
Node 379,Node 380,0
Node 378,Node 379,0
Node 377,Node 378,0
Node 376,Node 377,0
Node 374,Node 376,0
Turbinaria peltata,Node 374, 
Turbinaria mesenterina,Node 374, 
Node 375,Node 376,0
Tubastraea micranthus,Node 375, 
Tubastraea coccinea,Node 375, 
Astroides calycularis,Node 377, 
Cladopsammia gracilis,Node 378, 
Rhizopsammia minuta,Node 379, 
Dendrophyllia alternata,Node 380, 
Leptopsammia pruvoti,Node 381, 
Balanophyllia elegans,Node 382, 
Balanophyllia europaea,Node 382, 
Enallopsammia rostrata,Node 382, 
Balanophyllia regia,Node 382, 
Node 389,Node 390,0
Node 387,Node 389,0
Placotrochus laevis,Node 387, 
Node 386,Node 387,0
Monomyces pygmaea,Node 386, 
Node 385,Node 386,0
Node 384,Node 385,0
Javania insignis,Node 384, 
Flabellum impensum,Node 384, 
Flabellum angulare,Node 385, 
Node 388,Node 389,0
Tropidocyathus labidus,Node 388, 
Fungiacyathus marenzelleri,Node 388, 
Guynia annulata,Node 392, 
Ricordea florida,Node 394, 
Node 396,Node 397,0
Node 395,Node 396,0
Antipathes galapagensis,Node 395, 
Stichopathes spiessi,Node 395, 
Stichopathes lutkeni,Node 396, 
Node 423,Node 424,0
Node 422,Node 423,0
Node 414,Node 422,0
Node 412,Node 414,0
Node 403,Node 412,0
Node 401,Node 403,0
Node 400,Node 401,0
Palythoa caribaeorum,Node 400, 
Node 399,Node 400,0
Node 398,Node 399,0
Palythoa caesia,Node 398, 
Palythoa tuberculosa,Node 398, 
Palythoa mutuki,Node 399, 
Sphenopus marsupialis,Node 401, 
Node 402,Node 403,0
Palythoa heliodiscus,Node 402, 
Palythoa variabilis,Node 402, 
Node 411,Node 412,0
Isaurus tuberculatus,Node 411, 
Node 410,Node 411,0
Node 409,Node 410,0
Zoanthus praelongus,Node 409, 
Node 408,Node 409,0
Node 407,Node 408,0
Node 404,Node 407,0
Zoanthus sansibaricus,Node 404, 
Zoanthus pulchellus,Node 404, 
Node 406,Node 407,0
Node 405,Node 406,0
Zoanthus sociatus,Node 405, 
Zoanthus kuroshio,Node 405, 
Zoanthus vietnamensis,Node 406, 
Zoanthus gigantus,Node 408, 
Acrozoanthus australiae,Node 410, 
Node 413,Node 414,0
Parazoanthus gracilis,Node 413, 
Parazoanthus tunicans,Node 413, 
Node 421,Node 422,0
Node 420,Node 421,0
Node 417,Node 420,0
Node 416,Node 417,0
Parazoanthus swiftii,Node 416, 
Node 415,Node 416,0
Parazoanthus anguicomus,Node 415, 
Parazoanthus axinellae,Node 415, 
Parazoanthus parasiticus,Node 417, 
Node 419,Node 420,0
Node 418,Node 419,0
Parazoanthus puertoricense,Node 418, 
Parazoanthus catenularis,Node 418, 
Epizoanthus cutressi,Node 419, 
Savalia savaglia,Node 421, 
Abyssoanthus nankaiensis,Node 423, 
