Id,Label,weight,Degree,Weighted Degree,Modularity Class,PageRank,Eccentricity,Closeness Centrality,Betweenness Centrality
S1584,S1584,,9,255.0,8,9.349592351270923E-5,5.0,2.9351710056151097,15.028836891136391
S11436,S11436,,15,55.0,4,7.304419494165067E-5,5.0,2.9303215926493107,0.014492753623188406
S11745,S11745,,15,36.0,4,7.860287147213896E-5,5.0,2.9303215926493107,1.9340724471606825
S15798,S15798,,38,79.0,4,1.2783289184703278E-4,5.0,2.923940786115365,6.141233643654046
S1159,S1159,,7,10.0,4,5.5865551748941336E-5,5.0,2.9323634507401737,0.0
S16035,S16035,,37,78.0,4,1.2568621621289323E-4,5.0,2.9241960183767226,5.862742394574562
S12103,S12103,,35,56.0,4,1.1933989233921628E-4,5.0,2.692445125063808,0.02160890029952931
S14038,S14038,,20,120.0,4,8.683680098788413E-5,5.0,2.712353241449719,0.8142264589966662
S13689,S13689,,11,55.0,4,7.254223269847522E-5,5.0,2.9313425216947424,0.5396825396825397
S11569,S11569,,8,60.0,5,8.366519363365424E-5,5.0,3.105666156202144,0.0
S11245,S11245,,10,38.0,5,1.1704133779895403E-4,5.0,3.386932108218479,0.2511655011655012
S1721,S1721,,8,38.0,5,8.366519363365424E-5,5.0,3.105666156202144,0.0
S2023,S2023,,11,360.0,5,1.070185464488869E-4,5.0,3.088820826952527,3.5586963125925157
S10593,S10593,,2,4.0,1,4.884914962734302E-5,5.0,3.4002041858090863,0.0
S685,S685,,7,251.0,1,1.1664649563566851E-4,5.0,3.2427258805513017,36.79885328474761
S1826,S1826,,25,444.0,1,1.8253686256732737E-4,5.0,2.7822868810617662,893.2438098557086
S10601,S10601,,6,53.0,0,6.934649499123661E-5,5.0,3.049770290964778,0.0
S292,S292,,9,109.0,0,7.098923214759315E-5,5.0,2.545431342521695,0.05
S294,S294,,24,80.0,0,1.2484141643089773E-4,5.0,2.4589076059213886,7.608982768130604
S1182,S1182,,8,29.0,4,6.249018760363641E-5,5.0,2.932108218478816,0.14285714285714285
S10616,S10616,,10,61.0,5,8.566833521680579E-5,4.0,2.5936702399183256,1.3247151413922635
S1838,S1838,,10,92.0,5,8.566833521680579E-5,4.0,2.5936702399183256,1.3247151413922635
S11441,S11441,,6,29.0,0,5.869242986531084E-5,5.0,2.546452271567126,0.0
S15569,S15569,,14,214.0,0,8.832951120973312E-5,5.0,2.5441551812149057,0.37062400318979266
S10865,S10865,,6,45.0,0,6.380021308011912E-5,5.0,2.546452271567126,0.0
S2168,S2168,,15,444.0,0,1.234277772708521E-4,4.0,2.4905564063297603,12.480877475524098
S10652,S10652,,10,13.0,4,7.003610851328295E-5,5.0,2.878254211332312,0.0
S16076,S16076,,9,108.0,0,9.964229265847892E-5,4.0,2.5183767228177643,2.0656053694317262
S11747,S11747,,11,101.0,0,1.2318350545144666E-4,4.0,2.519908116385911,12.406747383417144
S15211,S15211,,10,159.0,0,1.1317385911487894E-4,4.0,2.5349668198060233,0.5357142857142857
S925,S925,,10,210.0,5,8.852043947957318E-5,5.0,2.789178152118428,0.3111111111111111
S1546,S1546,,7,200.0,5,8.25226696983408E-5,5.0,2.78534966819806,1.8503367069995376
S11968,S11968,,4,16.0,5,5.737886266427156E-5,5.0,2.7912200102092903,0.0
S1487,S1487,,14,98.0,5,1.3436761631154326E-4,5.0,2.769014803471159,41.466059045504586
S10732,S10732,,9,213.0,5,7.909314398105636E-5,5.0,2.7743746809596734,0.0
S14488,S14488,,21,203.0,5,1.4412882409319447E-4,4.0,2.7322613578356303,10.642709229288128
S12855,S12855,,18,3399.0,5,1.3119690120722685E-4,4.0,2.743746809596733,15.4767322161985
S11178,S11178,,19,1719.0,5,1.3154087928424077E-4,4.0,2.517100561510975,76.01574846719924
S1602,S1602,,19,591.0,5,1.3619503185459126E-4,4.0,2.6613067891781523,25.007692256222384
S10676,S10676,,7,32.0,5,8.19928142639997E-5,5.0,2.7907095456865747,0.4
S13339,S13339,,11,1037.0,5,9.745188381229455E-5,5.0,2.7697805002552323,0.6795425148965543
S15468,S15468,,7,21.0,5,7.094578450818257E-5,5.0,2.790199081163859,0.0
S1803,S1803,,31,207.0,0,2.011569828620801E-4,5.0,2.746554364471669,45.20162450875647
S2152,S2152,16,4,142.0,5,7.773383654022844E-5,5.0,3.145737621235324,0.0
S11022,S11022,,4,34.0,5,7.773383654022843E-5,5.0,3.145737621235324,0.0
S1067,S1067,,8,30.0,5,7.888910846978105E-5,4.0,2.7582950484941295,0.0
S12594,S12594,,14,1469.0,5,1.1406374313774654E-4,4.0,2.7447677386421643,4.562772415396571
S9944,S9944,,5,17.0,5,7.217500398609956E-5,5.0,2.7912200102092903,0.0
S1639,S1639,,10,273.0,1,1.1286655002301585E-4,5.0,3.198315467075038,0.0
S2010,S2010,,8,234.0,1,1.0007030194601013E-4,5.0,3.1049004594180705,0.2032967032967033
S732,S732,,25,105.0,1,2.2689924314122688E-4,4.0,2.454568657478305,5387.853647601787
S1638,S1638,,10,273.0,1,1.1286655002301585E-4,5.0,3.198315467075038,0.0
S12732,S12732,,34,186.0,4,1.1559150456460482E-4,5.0,2.923430321592649,1.5702215952061855
S2196,S2196,,21,186.0,4,8.695457795721488E-5,5.0,2.928790199081164,0.336499392430321
S1069,S1069,,17,1470.0,5,1.2695216871043752E-4,5.0,2.9568657478305256,4.976582246069398
S1300,S1300,,18,1800.0,5,1.320581614481746E-4,5.0,2.9566105155691678,5.5795993386086815
S1513,S1513,,9,391.0,5,8.348207619330389E-5,5.0,2.9696273608984174,0.0
S1466,S1466,,7,251.0,5,7.453402333435065E-5,5.0,2.970137825421133,0.0
S12555,S12555,,10,401.0,1,8.570521880484582E-5,5.0,2.7100561510974988,0.1111111111111111
S11452,S11452,,9,802.0,1,8.13196737372704E-5,5.0,2.7103113833588566,0.0
S10863,S10863,,13,1241.0,5,1.0057448870727334E-4,4.0,2.7554874936191935,0.25244926040591675
S10970,S10970,,9,496.0,5,8.827171925810778E-5,5.0,2.9188361408882084,0.0
S2079,S2079,,9,421.0,5,8.811259199951031E-5,5.0,2.7554874936191935,0.6719160090370289
S11122,S11122,,12,62.0,5,1.1420218243987461E-4,5.0,2.841755997958142,0.18333333333333335
